querulous;抱怨的;2025-06-13 14:02:09;2025-06-13 14:02:09;2.5;0;0
rote;死记硬背;2025-06-13 14:02:19;2025-06-13 14:02:19;2.5;0;0
allegory;象征 寓言;2025-06-13 14:02:40;2025-06-13 14:02:40;2.5;0;0
forthright;直率的;2025-06-13 14:03:20;2025-06-13 14:03:20;2.5;0;0
aver;断言;2025-06-13 14:03:26;2025-06-13 14:03:26;2.5;0;0
nefarious;邪恶的 恶毒的;2025-06-13 14:03:46;2025-06-13 14:03:46;2.5;0;0
proselytize;极力劝某人加入（政党或宗教）;2025-06-13 14:04:24;2025-06-13 14:04:24;2.5;0;0
resent;怨恨;2025-06-13 14:04:42;2025-06-13 14:04:42;2.5;0;0
heresy;异端;2025-06-13 14:04:57;2025-06-13 14:04:57;2.5;0;0
spontaneous;自发的;2025-06-13 14:05:08;2025-06-13 14:05:08;2.5;0;0
tempestuous;暴乱的;2025-06-13 14:05:40;2025-06-13 14:05:40;2.5;0;0
finicky;过分讲究的;2025-06-13 14:05:53;2025-06-13 14:05:53;2.5;0;0
amass;聚集 积累;2025-06-13 14:06:04;2025-06-13 14:06:04;2.5;0;0
patronize;支持 以高人一等的态度去对待;2025-06-13 14:06:27;2025-06-13 14:06:27;2.5;0;0
avert;转移 防止;2025-06-13 14:06:53;2025-06-13 14:06:53;2.5;0;0
forestall;转移 防止;2025-06-13 14:07:15;2025-06-13 14:07:15;2.5;0;0
harrow;使苦恼;2025-06-13 14:07:33;2025-06-13 14:07:33;2.5;0;0
ritualize;使  程序化;2025-06-13 14:07:54;2025-06-13 14:07:54;2.5;0;0
arboreal;树木的 树栖的;2025-06-13 14:08:46;2025-06-13 14:08:46;2.5;0;0
satire;讽刺;2025-06-13 14:09:02;2025-06-13 14:09:02;2.5;0;0
mockery;讽刺;2025-06-13 14:09:08;2025-06-13 14:09:08;2.5;0;0
volition;意志力;2025-06-13 14:09:29;2025-06-13 14:09:29;2.5;0;0
innate;天生的;2025-06-13 14:09:38;2025-06-13 14:09:38;2.5;0;0
inborn;天生的;2025-06-13 14:09:44;2025-06-13 14:09:44;2.5;0;0
loathe;讨厌;2025-06-13 14:09:55;2025-06-13 14:09:55;2.5;0;0
exhaustive;全面的;2025-06-13 14:10:09;2025-06-13 14:10:09;2.5;0;0
poignant;令人沉痛的 深刻的;2025-06-13 14:11:36;2025-06-13 14:11:36;2.5;0;0
captivate;迷住;2025-06-13 14:11:44;2025-06-13 14:11:44;2.5;0;0
enamor;迷住;2025-06-13 14:11:54;2025-06-13 14:11:54;2.5;0;0
don;穿上;2025-06-13 14:12:00;2025-06-13 14:12:00;2.5;0;0
milieu;社会背景;2025-06-13 14:12:14;2025-06-13 14:12:14;2.5;0;0
portend;预言;2025-06-13 14:12:29;2025-06-13 14:12:29;2.5;0;0
presage;预言;2025-06-13 14:12:36;2025-06-13 14:12:36;2.5;0;0
regimen;养生;2025-06-28 16:28:28;2025-06-28 16:28:28;2.5;0;0
haphazard;随意的;2025-06-28 16:28:45;2025-06-28 16:28:45;2.5;0;0
helter-skelter;随意的;2025-06-28 16:30:17;2025-06-28 16:30:17;2.5;0;0
vacuous;空洞的;2025-06-28 16:30:34;2025-06-28 16:30:34;2.5;0;0
paucity;空洞的;2025-06-28 16:30:47;2025-06-28 16:30:47;2.5;0;0
tractable;驯服的;2025-06-28 16:31:04;2025-06-28 16:31:04;2.5;0;0
compliant;温顺的;2025-06-28 16:31:19;2025-06-28 16:31:19;2.5;0;0
ponderous;笨重的;2025-06-28 16:31:34;2025-06-28 16:31:34;2.5;0;0
preclude;排除;2025-06-28 16:31:47;2025-06-28 16:31:47;2.5;0;0
valorize;称赞;2025-06-28 16:32:06;2025-06-28 16:32:06;2.5;0;0
allegiance;忠诚;2025-06-28 16:32:19;2025-06-28 16:32:19;2.5;0;0
condemn;谴责;2025-06-28 16:32:33;2025-06-28 16:32:33;2.5;0;0
decry;谴责;2025-06-28 16:32:39;2025-06-28 16:32:39;2.5;0;0
forsake;抛弃;2025-06-28 16:32:53;2025-06-28 16:32:53;2.5;0;0
unconscionable·;不合理的;2025-06-28 16:33:45;2025-06-28 16:33:45;2.5;0;0
millstone;负担;2025-06-28 16:34:10;2025-06-28 16:34:10;2.5;0;0
sacrosanct;神圣不可改变的;2025-06-28 16:34:25;2025-06-28 16:34:25;2.5;0;0
divisive;引起纷争的;2025-06-28 16:34:51;2025-06-28 16:34:51;2.5;0;0
ill-advised;不明智的;2025-06-28 16:35:08;2025-06-28 16:35:08;2.5;0;0
lament;悲痛;2025-06-28 16:35:23;2025-06-28 16:35:23;2.5;0;0
masculine;男子气概;2025-06-28 16:35:36;2025-06-28 16:35:36;2.5;0;0
furtive;鬼鬼祟祟的;2025-06-28 16:35:54;2025-06-28 16:35:54;2.5;0;0
trenchant;有力的;2025-06-28 16:36:26;2025-06-28 16:36:26;2.5;0;0
incisive;深刻的;2025-06-28 16:37:04;2025-06-28 16:37:04;2.5;0;0
vacillate;波动的;2025-06-28 16:37:25;2025-06-28 16:37:25;2.5;0;0
indiscriminate;盲目的 放肆的;2025-06-28 16:37:42;2025-06-28 16:37:42;2.5;0;0
bristle;发怒;2025-06-28 16:37:57;2025-06-28 16:37:57;2.5;0;0
onset;开始;2025-06-28 16:38:00;2025-06-28 16:38:00;2.5;0;0
cardinal;主要的;2025-06-28 16:38:15;2025-06-28 16:38:15;2.5;0;0
inadvertent;不认真的;2025-06-28 16:38:40;2025-06-28 16:38:40;2.5;0;0
